::1 - - [Tue, 21 Jun 2022 02:35:34 GMT] 'POST /v1/auth/login HTTP/1.1' 200 56 '-' 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:00:58 GMT] 'POST /v1/auth/login' 200 56 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:01:25 GMT] 'POST /v1/auth/login' 200 56 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:06:31 GMT] 'POST /v1/auth/login' 200 56 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:07:21 GMT] 'POST /v1/auth/login' 200 56 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:07:44 GMT] 'POST /v1/auth/login' 200 56 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:08:16 GMT] 'POST /v1/auth/login' 200 56 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:10:13 GMT] 'POST /v1/auth/login' 200 56 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:15:40 GMT] 'POST /v1/auth/login' 200 56 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:17:49 GMT] 'POST /v1/auth/login' 200 56 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:18:54 GMT] 'POST /v1/auth/login' 200 56 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:19:29 GMT] 'POST /v1/auth/login' 500 1307 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:19:52 GMT] 'POST /v1/auth/login' 200 56 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:21:33 GMT] 'POST /v1/auth/login' 200 56 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:21:59 GMT] 'POST /v1/auth/login' 200 56 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:22:12 GMT] 'POST /v1/auth/login?name=John' 200 56 'PostmanRuntime/7.29.0'
[Wed, 22 Jun 2022 16:22:38 GMT] 'POST /v1/auth/login?name=John' 200 56 'PostmanRuntime/7.29.0'
[Thu, 23 Jun 2022 23:42:36 GMT] 'POST /v1/auth/login?name=Elvis' 200 56 'PostmanRuntime/7.29.0'
[Thu, 23 Jun 2022 23:48:52 GMT] 'POST /v1/auth/login?name=Elvis' 200 56 'PostmanRuntime/7.29.0'
[Fri, 24 Jun 2022 00:10:46 GMT] 'POST /v1/auth/login?name=Elvis' 200 56 'PostmanRuntime/7.29.0'
[Fri, 24 Jun 2022 00:10:59 GMT] 'POST /v1/auth/login?name=Elvis' 200 56 'PostmanRuntime/7.29.0'
[Sat, 25 Jun 2022 00:06:38 GMT] 'POST /v1/auth/logining' 400 60 'PostmanRuntime/7.29.0'
[Sat, 25 Jun 2022 00:15:30 GMT] 'POST /v1/auth/logining' 400 56 'PostmanRuntime/7.29.0'
[Sat, 25 Jun 2022 01:54:47 GMT] 'POST /v1/auth/login' 200 56 'PostmanRuntime/7.29.0'
[Sat, 25 Jun 2022 01:54:53 GMT] 'GET /v1/auth/login' 400 53 'PostmanRuntime/7.29.0'
[Sat, 25 Jun 2022 02:05:48 GMT] 'GET /v1/auth/login' 400 53 'PostmanRuntime/7.29.0'
[Sat, 25 Jun 2022 02:05:57 GMT] 'GET /v1/auth/login' 400 53 'PostmanRuntime/7.29.0'
[Sat, 25 Jun 2022 02:08:15 GMT] 'GET /v1/auth/login' 400 57 'PostmanRuntime/7.29.0'
[Sat, 25 Jun 2022 02:08:31 GMT] 'GET /v1/auth/login' 400 57 'PostmanRuntime/7.29.0'
[Sat, 25 Jun 2022 02:14:55 GMT] 'POST /v1/auth/login' 200 56 'PostmanRuntime/7.29.0'
[Sat, 25 Jun 2022 02:15:03 GMT] 'GET /v1/auth/login' 400 57 'PostmanRuntime/7.29.0'
[Sat, 25 Jun 2022 02:15:29 GMT] 'GET /v1/auth/login' 404 152 'PostmanRuntime/7.29.0'
[Sat, 25 Jun 2022 02:18:33 GMT] 'GET /v1/auth/login' 400 57 'PostmanRuntime/7.29.0'
[Sat, 25 Jun 2022 02:28:55 GMT] 'GET /v1/auth/login' 500 1489 'PostmanRuntime/7.29.0'
[Sat, 25 Jun 2022 02:29:31 GMT] 'GET /v1/auth/login' 400 53 'PostmanRuntime/7.29.0'
